trade_date,lowvol_return,long_return,short_return,long_count,short_count,holdings_count,signal_date
2020-07-15,0.0191054480485196,-0.017651056204092918,-0.03675650425261252,747,747,1494,2020-07-14
2020-07-16,0.028833413194911443,-0.031216212376559943,-0.060049625571471386,747,747,1494,2020-07-15
2020-07-17,0.0002242898306225368,0.0018368807461955515,0.0016125909155730147,747,747,1494,2020-07-16
2020-07-20,0.01031891509100065,0.037494337727547504,0.027175422636546855,747,747,1494,2020-07-17
2020-07-21,-0.0047656711329854586,0.0005338032263111055,0.005299474359296564,747,747,1494,2020-07-20
2020-07-22,-0.008094666678944493,-0.000246778683365475,0.007847887995579018,747,747,1494,2020-07-21
2020-07-23,0.00023875597505243137,-0.00431246464947545,-0.004551220624527882,747,747,1494,2020-07-22
2020-07-24,0.02504549501067016,-0.029373599746034804,-0.054419094756704964,747,747,1494,2020-07-23
2020-07-27,0.002531349558741503,0.0002821194350198195,-0.0022492301237216836,748,748,1496,2020-07-24
2020-07-28,-0.006239069066218391,0.007739128748537642,0.013978197814756033,748,748,1496,2020-07-27
2020-07-29,-0.01919564779940782,0.01472310130705346,0.03391874910646128,748,748,1496,2020-07-28
2020-07-30,0.00787881723620181,0.0027132039729725727,-0.005165613263229237,748,748,1496,2020-07-29
2020-07-31,-0.010316835941595392,0.007024272207073012,0.017341108148668405,749,749,1498,2020-07-30
2020-08-03,-0.012574940909766606,0.022285619848495485,0.03486056075826209,749,749,1498,2020-07-31
2020-08-04,0.013450572645536042,0.0019581226045606768,-0.011492450040975365,749,749,1498,2020-08-03
2020-08-05,-0.008160931360856338,0.0030318599952648385,0.011192791356121176,750,750,1500,2020-08-04
2020-08-06,0.00482739049575494,-0.00039309162403478157,-0.005220482119789721,750,750,1500,2020-08-05
2020-08-07,0.006697043527654576,-0.0096588430162208,-0.016355886543875375,750,750,1500,2020-08-06
2020-08-10,0.01480749820324327,0.015228541153351607,0.00042104295010833754,750,750,1500,2020-08-07
2020-08-11,0.008807680557127946,-0.01390861650480446,-0.022716297061932407,750,750,1500,2020-08-10
2020-08-12,0.01391721307630684,0.0010610463366511767,-0.012856166739655664,750,750,1500,2020-08-11
2020-08-13,0.002229849089162776,0.007373788108776866,0.00514393901961409,751,751,1502,2020-08-12
2020-08-14,-0.002138170551788817,0.005447785443962748,0.007585955995751565,751,751,1502,2020-08-13
2020-08-17,-0.006312241491119901,0.015556434691246453,0.021868676182366355,751,751,1502,2020-08-14
2020-08-18,-0.009502289499844987,0.002225324051806601,0.011727613551651589,752,752,1504,2020-08-17
2020-08-19,0.02146095075152507,-0.0034654686026210956,-0.024926419354146166,752,752,1504,2020-08-18
2020-08-20,0.004437614510628633,-0.008886425621355951,-0.013324040131984584,752,752,1504,2020-08-19
2020-08-21,0.0006139914623053602,0.005661663451926758,0.005047671989621398,752,752,1504,2020-08-20
2020-08-24,-0.00880615400171558,0.0005915784519448128,0.009397732453660391,752,752,1504,2020-08-21
2020-08-25,0.00034521943464063676,-0.001986044031307985,-0.002331263465948622,752,752,1504,2020-08-24
2020-08-26,0.017610794919376796,-0.011072415416647266,-0.028683210336024063,752,752,1504,2020-08-25
2020-08-27,-0.007612928345044363,0.008482885241897511,0.016095813586941874,753,753,1506,2020-08-26
2020-08-28,-0.00027800961353825586,0.00944546151070751,0.009723471124245766,752,752,1504,2020-08-27
2020-08-31,-0.003896073354221021,-0.00046366973187677635,0.0034324036223442444,753,753,1506,2020-08-28
2020-09-01,-0.003547729129765454,0.0035416112243387967,0.007089340354104251,753,753,1506,2020-08-31
2020-09-02,-0.005385460869006735,0.0022129008557287043,0.00759836172473544,753,753,1506,2020-09-01
2020-09-03,0.00786392994681108,-0.0035972253603138494,-0.011461155307124929,753,753,1506,2020-09-02
2020-09-04,-0.005979102022505583,-0.001942940279009179,0.004036161743496404,753,753,1506,2020-09-03
2020-09-07,0.0033310839146219176,-0.007620631865813319,-0.010951715780435236,753,753,1506,2020-09-04
